mrr,plan_tier,months_active,usage_index,usage_trend_3m,support_tickets_90d,payment_failures,seat_utilization,days_since_login,churned
229.91,0,3,0.5209,-0.2528,9,0,0.2663,14,1
1108.23,1,10,0.4906,0.0886,0,2,0.3576,7,0
317.02,0,21,0.202,0.1539,4,0,0.7924,5,0
244.46,0,27,0.6562,-0.0021,0,0,0.8052,2,0
231.02,0,22,0.4239,0.1411,1,0,0.7214,2,0
930.07,1,6,0.5265,0.0459,2,0,0.5191,5,0
251.28,0,21,0.4316,0.0226,1,1,0.7145,3,0
196.69,0,18,0.2926,-0.2063,6,0,0.142,36,1
792.21,1,30,0.4478,-0.0934,5,0,0.05,9,1
326.6,0,5,0.839,-0.0759,2,0,0.4051,0,0
836.21,1,48,0.6375,-0.1444,1,0,0.4019,5,0
176.82,0,26,0.5815,-0.362,4,0,0.1843,12,0
409.96,0,20,0.644,-0.1509,8,4,0.05,49,1
111.2,0,55,0.4053,-0.1293,0,1,0.7155,8,0
761.27,1,45,0.775,-0.4494,10,0,0.3393,36,0
233.41,0,9,0.6755,-0.0606,0,0,0.4669,7,0
305.44,0,9,0.1298,-0.0559,0,0,0.3569,6,0
353.0,0,1,0.9284,-0.1722,2,0,0.3838,26,1
3560.27,2,34,0.512,-0.0412,1,0,0.4088,1,1
1870.35,2,22,0.1985,0.0001,1,0,0.5079,3,0
1092.83,1,23,0.0528,-0.3434,10,0,0.2683,26,1
310.57,0,31,0.2453,-0.0275,0,0,0.4001,5,0
1318.41,2,33,0.5506,0.014,0,0,0.6588,0,0
1730.92,1,1,0.3862,0.0065,1,3,0.4764,1,1
537.89,1,7,0.9245,0.2181,0,0,0.6429,8,0
335.86,0,48,0.7569,0.0172,0,0,0.7503,2,0
332.41,0,58,0.5447,-0.1102,4,0,0.05,16,1
319.37,0,51,0.4252,-0.2297,0,2,0.6965,2,0
2018.52,2,55,0.1599,0.044,1,0,0.4519,0,1
387.39,0,28,0.5774,-0.1775,0,0,0.6026,4,0
167.96,0,50,0.5345,-0.2855,6,0,0.604,20,1
283.39,0,53,0.5301,-0.0835,5,4,0.3702,20,0
730.6,1,54,0.7584,0.0998,1,0,0.6367,4,0
228.8,0,9,0.2834,-0.0434,4,4,0.6204,5,0
2788.57,2,9,0.304,0.0227,0,0,0.7523,4,0
1297.69,1,25,0.082,-0.3035,5,0,0.05,18,1
789.25,1,31,0.6143,-0.1962,6,0,0.1482,49,0
381.12,0,58,0.506,0.081,0,0,0.2201,4,1
905.63,1,20,0.7486,0.0764,1,2,0.8043,6,0
651.17,1,50,0.812,0.0065,1,0,0.5225,4,0
813.17,1,54,0.4501,-0.2977,3,0,0.639,18,0
261.14,0,58,0.6899,-0.1086,7,0,0.2683,17,1
227.25,0,12,0.3251,-0.3517,3,0,0.05,35,1
336.92,0,15,0.6488,0.1189,2,1,0.79,8,0
314.82,0,14,0.121,-0.3297,1,0,0.4596,55,1
166.19,0,45,0.8783,-0.1233,4,0,0.5708,25,0
162.69,0,42,0.9449,0.0496,0,1,0.3297,4,0
336.47,0,25,0.4872,-0.2442,1,0,0.6201,6,0
669.06,1,6,0.5063,0.0805,2,0,0.6577,6,1
322.34,0,32,0.2424,-0.0022,1,0,0.5216,4,1
3154.39,2,44,0.6306,-0.2565,4,0,0.05,39,0
570.43,1,29,0.6116,-0.4021,0,1,0.139,23,0
176.95,0,17,0.4519,0.0989,1,0,0.7451,7,0
1599.22,1,36,0.7304,-0.0721,5,0,0.2395,4,0
327.97,0,40,0.8294,0.1313,2,0,0.547,3,0
2072.46,2,36,0.5102,-0.132,2,0,0.6791,1,0
209.14,0,53,0.49,0.0496,4,0,0.8299,6,0
744.39,1,19,0.8758,0.0972,1,0,0.73,6,1
191.17,0,37,0.1538,-0.3571,5,0,0.4605,10,1
395.07,0,52,0.6429,-0.052,8,0,0.113,16,0
220.97,0,13,0.6957,-0.0007,0,0,0.861,5,0
3519.1,2,17,0.6916,-0.0781,7,0,0.05,51,0
773.56,1,3,0.4894,-0.1022,0,1,0.5865,3,0
201.28,0,23,0.6059,-0.0486,1,0,0.4723,6,0
249.8,0,3,0.32,-0.1147,7,0,0.6112,16,1
115.75,0,45,0.6362,-0.0925,1,0,0.6576,1,0
853.16,1,6,0.5748,0.2004,1,0,0.7739,7,0
273.24,0,42,0.5144,-0.4016,8,0,0.216,55,0
387.04,0,35,0.458,0.1326,4,0,0.6897,7,0
459.9,1,60,0.5809,-0.1037,2,0,0.6948,8,0
3604.28,2,21,0.8874,-0.0822,1,0,0.7547,1,0
386.48,0,21,0.8706,-0.3414,6,0,0.6091,27,0
1379.45,1,15,0.88,-0.091,0,0,0.799,1,0
284.7,0,33,0.4531,0.1123,1,0,0.7605,4,1
1269.13,1,14,0.5266,-0.2925,6,0,0.2904,40,1
173.29,0,7,0.2183,-0.3883,7,0,0.1756,22,0
1142.29,1,57,0.2685,0.2907,0,0,0.3891,8,0
679.47,1,41,0.5071,-0.1373,5,0,0.1693,39,1
499.31,1,8,0.6988,0.026,0,0,0.4181,0,0
195.67,0,38,0.321,-0.1612,4,0,0.4214,44,0
2404.65,2,19,0.3987,-0.0605,1,0,0.2577,6,0
217.32,0,11,0.5904,-0.0333,1,0,0.405,2,0
330.8,0,29,0.429,-0.3808,10,0,0.5721,41,1
472.64,1,48,0.2901,0.0771,3,0,0.3563,3,0
137.74,0,1,0.7146,-0.2865,7,0,0.5238,12,1
1438.79,1,22,0.5024,-0.0517,1,3,0.5607,3,1
1221.15,1,56,0.5314,0.079,2,0,0.1214,8,0
200.86,0,24,0.7123,0.0506,1,0,0.7813,7,0
2397.48,2,6,0.3357,0.0634,0,0,0.3928,1,1
414.35,0,26,0.4987,-0.0664,1,0,0.4241,7,0
1030.65,1,41,0.4944,-0.0839,1,3,0.2547,6,1
305.44,0,60,0.7889,-0.1151,6,0,0.1041,14,0
3521.1,2,38,0.2462,0.1073,0,0,0.2252,6,0
224.56,0,4,0.6747,-0.2693,3,0,0.05,35,0
293.18,0,49,0.3687,0.0809,0,0,0.6388,2,0
288.19,0,47,0.8908,0.1399,1,0,0.1674,2,0
2181.48,2,40,0.2925,-0.0162,1,1,0.59,7,0
2093.92,2,54,0.562,-0.1239,2,0,0.5875,5,0
912.99,1,47,0.1908,-0.1114,2,0,0.4606,6,0
2429.08,2,14,0.8503,-0.2933,5,0,0.6528,29,1
1662.83,2,26,0.1667,-0.0246,0,0,0.3256,1,1
1178.33,1,31,0.8144,0.0164,1,0,0.3956,6,0
206.06,0,30,0.3844,0.0184,1,0,0.6296,1,0
824.55,1,39,0.5808,-0.1638,9,0,0.5045,38,0
802.61,1,43,0.3636,-0.2825,3,1,0.2675,48,1
328.72,0,7,0.145,-0.0561,1,0,0.5079,3,0
138.13,0,35,0.3509,0.1465,0,0,0.2704,0,0
1215.66,1,3,0.4968,0.114,0,0,0.2735,3,0
228.82,0,31,0.1457,0.1067,0,0,0.1673,7,0
3678.32,2,26,0.7464,-0.046,0,0,0.7042,3,0
245.31,0,13,0.8271,0.0084,0,0,0.5269,0,0
285.08,0,60,0.8195,0.0923,2,0,0.3265,6,0
1738.97,1,16,0.1348,0.0,2,1,0.628,7,0
263.17,0,4,0.4557,-0.3072,3,0,0.1513,14,1
447.41,0,22,0.5229,-0.0539,0,1,0.7617,2,0
902.25,1,46,0.5721,-0.0491,2,0,0.6842,3,0
2775.6,2,1,0.5605,-0.0961,3,1,0.3276,7,1
297.19,0,30,0.1687,0.307,2,0,0.3693,1,0
390.19,0,26,0.429,-0.1752,1,0,0.6862,8,0
700.14,1,52,0.2571,-0.1841,3,0,0.3974,38,0
1700.72,2,1,0.6059,-0.2806,4,0,0.1872,38,1
711.75,1,2,0.282,-0.0481,2,0,0.6813,8,1
300.3,0,34,0.4404,-0.0152,2,0,0.6015,7,0
268.43,0,11,0.1988,-0.2912,0,0,0.1209,33,0
371.85,0,43,0.1699,0.1232,1,0,0.8388,7,0
457.85,0,17,0.8054,-0.0073,1,0,0.542,0,0
632.5,1,34,0.3886,0.1122,3,0,0.3341,7,0
224.3,0,3,0.6117,-0.3724,4,0,0.2198,36,1
538.37,1,42,0.4562,-0.3048,4,0,0.545,14,0
1811.39,1,32,0.652,0.0695,0,1,0.392,2,1
990.15,1,1,0.4437,-0.3974,7,0,0.5634,49,1
343.03,0,16,0.4698,-0.0765,1,0,0.4479,5,0
556.77,1,4,0.7823,-0.0941,0,0,0.6245,8,0
889.64,1,3,0.7497,0.0541,0,0,0.538,0,0
1063.65,1,42,0.5989,0.0253,0,2,0.3409,0,1
265.45,0,26,0.3627,-0.0518,1,0,0.8444,0,0
422.58,0,49,0.5844,-0.1017,1,0,0.8301,7,0
5390.35,2,16,0.2484,-0.1098,2,0,0.05,18,1
208.18,0,44,0.733,-0.3012,3,0,0.4629,33,1
202.79,0,37,0.8612,-0.0133,0,1,0.7858,2,0
213.29,0,40,0.4502,-0.3519,9,0,0.1181,52,0
1561.48,1,50,0.9099,-0.3033,2,1,0.6418,15,0
3456.63,2,43,0.4751,-0.0517,3,0,0.0811,21,0
276.57,0,45,0.5713,0.0478,2,3,0.3824,2,1
2430.91,2,45,0.3604,-0.0204,1,0,0.2428,8,0
217.91,0,27,0.9318,0.1033,1,1,0.7618,6,1
1215.28,1,44,0.2195,-0.1017,0,0,0.6134,6,0
779.19,1,51,0.5465,-0.1889,7,1,0.3273,40,1
264.77,0,45,0.3185,-0.0214,3,0,0.5556,8,1
358.87,0,37,0.5802,0.0582,0,0,0.6835,7,0
271.53,0,5,0.3599,0.0831,1,0,0.898,3,0
2210.53,2,27,0.3318,-0.0615,0,0,0.7251,3,0
893.3,1,4,0.3116,-0.1699,5,0,0.2434,42,1
3170.35,2,7,0.4195,0.0279,1,1,0.6053,4,0
1583.66,1,22,0.3681,-0.1338,2,0,0.7963,6,1
355.95,0,28,0.7492,0.1208,1,0,0.6363,6,0
1178.95,1,32,0.5027,-0.0998,9,1,0.0837,51,1
270.41,0,55,0.5817,-0.097,2,0,0.8831,3,0
226.37,0,46,0.7624,-0.4084,6,0,0.4614,45,0
1118.92,1,26,0.7544,0.0513,1,0,0.3418,5,0
944.97,1,21,0.2835,-0.3516,7,0,0.6134,57,1
176.26,0,43,0.4511,-0.1679,0,2,0.2829,24,1
793.46,1,17,0.1347,0.0086,3,0,0.5391,4,0
864.55,1,54,0.8345,-0.0929,3,0,0.1215,4,0
2007.34,2,47,0.258,-0.1871,11,0,0.0964,43,1
1494.92,1,41,0.8919,0.1676,0,0,0.6727,4,0
343.03,0,15,0.4898,0.2331,1,0,0.7131,0,0
468.95,0,38,0.8055,-0.0012,2,1,0.5821,7,1
318.01,0,50,0.5012,-0.3843,5,0,0.3237,36,1
915.72,1,5,0.2883,0.0592,4,0,0.4376,5,1
1729.2,2,11,0.5608,-0.1521,1,1,0.6673,7,0
291.21,0,31,0.6708,-0.095,1,2,0.6838,0,1
291.33,0,22,0.363,-0.151,2,0,0.05,31,1
179.72,0,43,0.8897,-0.3289,5,0,0.6504,46,0
736.85,1,25,0.6924,0.2145,2,0,0.8752,6,0
794.79,1,60,0.7971,0.1266,3,2,0.5169,8,0
335.16,0,18,0.8043,-0.3933,4,1,0.2787,58,0
340.82,0,22,0.8337,-0.1511,3,0,0.2787,18,1
726.15,1,1,0.2465,-0.2383,3,3,0.3104,54,1
341.72,0,15,0.2375,0.126,0,0,0.5545,2,0
835.05,1,15,0.728,-0.1375,3,1,0.4035,29,0
106.22,0,46,0.4117,0.0262,3,2,0.4655,8,1
244.75,0,21,0.2154,-0.3328,4,0,0.05,14,1
3501.23,2,13,0.5639,0.0801,0,0,0.2715,1,0
160.97,0,19,0.3394,0.005,0,0,0.2792,4,0
301.67,0,34,0.3814,-0.2091,4,0,0.2747,14,1
505.08,0,48,0.2512,0.1199,0,3,0.2817,4,0
222.22,0,59,0.5414,-0.1435,0,0,0.6919,2,0
290.22,0,3,0.9159,-0.0096,0,1,0.6713,0,0
183.73,0,51,0.427,-0.2129,5,0,0.2671,39,1
512.56,0,24,0.6206,-0.0329,0,3,0.9118,8,0
281.66,0,49,0.3811,-0.3394,3,0,0.1093,13,1
904.64,1,3,0.6697,-0.0528,1,0,0.4652,7,0
1429.71,1,38,0.092,-0.0898,2,0,0.7767,7,0
365.55,0,56,0.3107,0.1025,0,0,0.4169,8,0
213.45,0,3,0.7045,0.0577,1,0,0.5805,3,0
709.58,1,48,0.8183,-0.2774,6,1,0.05,53,0
2853.92,2,7,0.5235,-0.1727,0,1,0.1833,2,0
1929.05,2,59,0.3366,0.2149,0,0,0.9113,5,0
138.22,0,45,0.4674,-0.0209,2,0,0.8259,0,0
284.65,0,55,0.2515,-0.3692,4,2,0.3217,17,0
172.74,0,54,0.8898,0.0949,0,0,0.4701,4,0
510.6,0,19,0.3786,-0.1759,6,0,0.6607,59,0
946.81,1,25,0.4847,0.2243,0,0,0.7953,7,0
211.26,0,42,0.6057,-0.4091,5,0,0.6218,52,1
227.09,0,11,0.4444,-0.0028,2,0,0.1647,6,1
149.69,0,19,0.2701,-0.0191,2,2,0.4781,0,0
605.72,1,6,0.6039,-0.1926,5,0,0.05,46,1
413.89,0,54,0.4078,-0.0819,4,2,0.1113,35,0
1943.7,1,15,0.8275,-0.4399,3,0,0.6626,19,0
373.95,0,25,0.4947,-0.0397,1,0,0.5492,3,0
2323.92,2,28,0.653,-0.0556,0,0,0.8692,7,0
249.31,0,23,0.4605,-0.3609,5,0,0.1897,39,1
636.8,1,47,0.3984,0.1972,3,3,0.2106,1,1
4935.17,2,55,0.6156,0.1208,0,0,0.6479,0,0
2246.57,2,35,0.3501,-0.4334,4,2,0.4921,16,0
1866.26,1,51,0.6655,-0.0347,0,0,0.6173,4,1
1449.47,1,7,0.4378,-0.0351,0,0,0.4436,5,0
483.93,1,58,0.4738,-0.0167,0,0,0.4551,8,0
704.96,1,7,0.4268,0.1989,1,0,0.667,5,0
229.46,0,4,0.5341,0.0491,2,0,0.3832,5,1
865.47,1,2,0.5846,0.0948,1,2,0.8835,0,0
871.41,1,15,0.6983,0.04,0,4,0.7931,0,0
6849.34,2,51,0.2448,-0.2227,4,0,0.6098,15,1
198.91,0,19,0.1504,0.0303,2,0,0.7384,8,0
314.2,0,48,0.6728,-0.0876,2,0,0.6458,7,1
1104.34,1,26,0.2762,-0.1684,8,0,0.05,12,1
289.84,0,7,0.7665,-0.0549,3,0,0.6329,7,0
301.4,0,29,0.3293,-0.0372,0,0,0.5895,8,1
201.18,0,14,0.4244,-0.1218,9,0,0.05,30,1
301.01,0,18,0.4956,-0.0498,6,2,0.4519,2,0
346.84,0,32,0.1798,-0.4263,5,0,0.2961,44,1
325.23,0,48,0.5027,-0.0593,7,0,0.5167,37,0
354.05,0,36,0.7962,-0.0123,1,0,0.4209,6,0
475.47,0,14,0.1962,-0.1862,3,0,0.2197,59,1
402.55,0,44,0.3411,-0.0426,1,0,0.5705,3,0
912.49,1,42,0.3924,-0.2003,3,0,0.41,58,0
192.44,0,15,0.2498,0.0184,0,3,0.543,1,0
1945.4,2,52,0.27,0.1288,0,0,0.4203,5,1
2222.42,2,51,0.3352,-0.4038,6,0,0.05,36,0
316.78,0,37,0.7408,-0.4046,5,0,0.3111,38,0
245.3,0,18,0.3636,-0.4466,9,4,0.3251,50,1
641.44,1,22,0.3108,-0.187,7,0,0.4464,21,1
587.19,1,27,0.3494,-0.0222,3,1,0.5672,4,0
499.35,1,12,0.8973,0.116,3,0,0.4356,8,0
819.74,1,19,0.6412,-0.0425,3,0,0.8106,4,0
532.1,1,9,0.5904,-0.0224,1,2,0.8831,8,0
627.06,1,10,0.7909,-0.0475,0,0,0.8757,0,0
252.65,0,45,0.3976,0.0227,2,0,0.208,0,0
557.6,1,8,0.4639,0.2189,1,0,0.5974,8,0
331.22,0,29,0.0951,-0.3298,2,0,0.5283,7,0
1153.2,1,26,0.6009,0.0152,0,4,0.8113,8,0
1980.14,2,3,0.4738,-0.2399,2,0,0.4672,52,0
248.87,0,50,0.6115,-0.1341,9,0,0.5406,15,0
1074.19,1,60,0.2147,-0.0971,2,0,0.5927,55,1
225.88,0,39,0.844,-0.1345,6,3,0.5293,43,0
676.72,1,41,0.8399,-0.0076,1,2,0.6758,8,0
440.83,0,14,0.3323,-0.0453,2,0,0.6869,5,1
3270.47,2,51,0.1879,0.1135,1,0,0.547,7,1
357.96,0,48,0.3858,0.0695,1,0,0.2943,5,0
3318.27,2,27,0.8237,-0.0914,7,3,0.5541,36,1
445.49,1,43,0.7563,0.0811,1,0,0.4183,5,0
1429.48,1,58,0.8154,-0.0871,6,1,0.1143,14,0
1020.9,1,37,0.7744,-0.0753,6,0,0.3864,36,1
1267.74,1,12,0.2168,-0.3489,6,0,0.5338,52,0
2748.28,2,20,0.1991,-0.0726,5,0,0.5768,9,0
295.01,0,12,0.2872,-0.4296,6,0,0.5758,10,0
808.24,1,20,0.7064,0.1388,3,0,0.6626,5,0
329.77,0,54,0.6946,-0.1184,7,2,0.4277,43,1
798.0,1,12,0.6044,-0.377,7,1,0.2741,51,1
392.93,0,54,0.5013,-0.3795,4,0,0.414,17,1
510.79,1,18,0.1441,-0.0856,1,0,0.2409,6,0
736.32,1,30,0.3477,0.1071,2,0,0.3018,2,0
593.22,0,32,0.5806,-0.2103,3,0,0.3872,44,1
714.86,1,8,0.3207,-0.2694,8,0,0.05,42,0
818.67,1,12,0.3396,0.0813,0,0,0.638,0,0
653.48,1,19,0.5987,0.0037,1,4,0.5344,1,0
326.17,0,4,0.5822,0.0432,3,0,0.5087,0,0
687.82,1,46,0.5957,0.0468,2,0,0.4889,2,0
2249.04,2,33,0.5451,-0.4493,4,0,0.5388,48,1
390.33,0,51,0.5046,0.0285,1,0,0.5863,6,0
227.08,0,52,0.8403,0.0062,4,1,0.3353,4,1
382.18,0,21,0.3234,0.0005,2,0,0.365,7,0
1186.78,1,50,0.5077,-0.3537,7,0,0.1898,41,1
419.52,0,4,0.293,-0.0934,1,0,0.2717,4,0
934.87,1,26,0.1277,-0.0183,1,0,0.9018,7,0
2767.4,1,40,0.4318,-0.0812,2,0,0.6868,5,0
419.46,0,28,0.9819,-0.0681,4,0,0.7035,0,1
2689.02,2,45,0.4682,0.1004,0,0,0.5156,6,0
655.01,1,52,0.3998,-0.3527,10,0,0.6395,32,1
280.31,0,26,0.3165,-0.2046,2,0,0.05,42,1
477.75,0,17,0.8451,-0.1038,6,0,0.0592,50,1
527.54,0,35,0.3616,-0.0046,2,0,0.7018,5,0
486.53,0,53,0.8921,0.0253,1,0,0.6445,2,1
381.72,0,60,0.5243,-0.1307,2,0,0.689,1,0
1546.49,2,49,0.1458,-0.0891,2,0,0.4155,6,1
343.91,0,15,0.5781,-0.1241,0,0,0.6067,8,0
187.8,0,13,0.2363,-0.07,2,0,0.3034,3,0
528.8,1,35,0.2166,-0.3275,4,3,0.4762,45,1
967.7,1,25,0.7249,-0.4289,4,0,0.5022,45,1
2882.3,2,37,0.2265,-0.2583,8,0,0.5105,27,1
1220.97,1,56,0.4836,0.204,1,1,0.5528,0,0
345.12,0,33,0.5481,-0.4138,5,3,0.5704,56,0
349.3,0,22,0.4678,-0.4443,12,0,0.05,25,0
1700.36,2,53,0.5859,-0.0582,8,0,0.6067,49,1
857.89,1,27,0.5554,0.0134,2,0,0.6134,3,0
1416.2,2,37,0.3087,-0.0409,3,0,0.367,1,0
143.84,0,9,0.3888,0.1525,0,0,0.6345,6,0
3110.22,2,31,0.4067,-0.1386,8,0,0.0835,45,0
683.77,1,26,0.4185,-0.127,1,2,0.1358,7,1
393.57,0,8,0.3415,-0.3286,3,0,0.2699,24,1
1311.78,1,13,0.7011,-0.0391,0,0,0.7849,4,0
716.56,1,43,0.1814,-0.0062,1,4,0.9964,7,0
356.56,0,11,0.8417,-0.2836,5,0,0.0674,29,0
230.09,0,8,0.2368,0.1748,0,1,0.799,1,0
466.46,1,4,0.5825,0.0481,1,0,0.2756,5,0
302.79,0,2,0.5006,0.0612,4,0,0.9387,0,0
245.94,0,27,0.7766,-0.3512,4,0,0.05,12,1
248.6,0,30,0.574,0.1211,1,0,0.7234,1,0
578.97,0,38,0.5792,-0.3731,3,3,0.05,13,1
1406.94,2,35,0.4237,-0.3617,5,2,0.3982,37,1
1017.62,1,33,0.3349,-0.0398,3,0,0.5026,6,0
204.73,0,60,0.6596,-0.1534,1,0,0.7904,3,0
3298.15,2,15,0.8152,0.2025,3,0,0.8698,3,0
2664.24,2,43,0.7709,-0.0838,1,0,0.8016,7,0
331.18,0,5,0.4271,-0.0334,1,0,0.6577,1,0
639.39,1,51,0.8529,-0.2504,4,0,0.05,54,1
221.83,0,22,0.6715,-0.0304,2,2,0.7864,5,0
3320.14,2,21,0.3809,-0.0526,0,0,0.251,3,1
1654.08,1,9,0.6659,0.0664,0,0,0.3766,3,0
1052.93,1,31,0.1917,0.0674,1,0,0.3773,1,0
211.83,0,24,0.8393,-0.2824,5,0,0.1951,33,1
2702.28,2,59,0.925,0.0757,1,0,0.511,3,0
678.24,0,11,0.8898,-0.0217,1,2,0.7462,4,0
300.58,0,26,0.4452,-0.0218,0,0,0.7886,6,0
483.73,0,55,0.2365,0.1319,2,0,0.9005,5,0
686.84,1,49,0.2316,-0.0321,1,0,0.4154,8,1
285.76,0,46,0.531,-0.0341,1,0,0.6545,0,0
2981.17,2,32,0.6381,0.1129,2,0,0.8421,2,0
1022.79,1,53,0.4178,-0.3705,9,0,0.05,43,1
221.77,0,14,0.4162,-0.0305,0,0,0.8086,0,0
218.45,0,49,0.405,-0.0296,2,0,0.6785,1,1
409.85,0,35,0.4794,0.1324,0,0,0.5115,7,0
1350.55,1,21,0.5991,0.0786,2,0,0.3475,8,0
1510.92,1,14,0.259,-0.1194,2,0,0.4547,41,0
545.26,0,32,0.5987,-0.1908,8,0,0.2179,34,1
932.94,1,1,0.6898,-0.2054,2,0,0.05,36,1
260.07,0,43,0.7165,-0.0013,2,0,0.2279,3,1
1428.05,1,15,0.3371,-0.0712,0,0,0.8611,1,1
3080.35,2,24,0.692,-0.0402,0,3,0.6368,3,0
631.04,1,12,0.6598,0.0896,1,0,0.7705,4,0
619.83,1,28,0.4847,0.1442,1,0,0.5356,4,0
1057.22,1,23,0.4948,-0.0857,2,0,0.3209,3,0
272.55,0,12,0.6846,-0.0731,0,2,0.9038,6,0
287.33,0,54,0.7403,-0.0676,5,0,0.3999,21,0
422.11,0,46,0.0666,-0.0209,1,0,0.9809,7,0
1160.82,1,24,0.622,-0.314,5,0,0.3829,52,1
